Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5087,Mineral fertilizers,2020,2020,t,18363600.0,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5087,Mineral fertilizers,2020,2020,kg/ha,109.2759,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5087,Mineral fertilizers,2020,2020,t,3914364.4,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5087,Mineral fertilizers,2020,2020,kg/ha,23.2931,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5087,Mineral fertilizers,2020,2020,t,2355813.9,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5087,Mineral fertilizers,2020,2020,kg/ha,14.0187,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5087,Mineral fertilizers,2021,2021,t,17517240.0,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5087,Mineral fertilizers,2021,2021,kg/ha,104.1827,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5087,Mineral fertilizers,2021,2021,t,3413226.0,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5087,Mineral fertilizers,2021,2021,kg/ha,20.2999,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5087,Mineral fertilizers,2021,2021,t,1889536.5,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5087,Mineral fertilizers,2021,2021,kg/ha,11.2379,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5087,Mineral fertilizers,2022,2022,t,18185670.0,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5087,Mineral fertilizers,2022,2022,kg/ha,108.0992,E,Estimated value,
