Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),IND,India,511,Total Population - Both sexes,2501,Population,2020,2020,1000 No,1402617.7,X,Value from external organization,
FBS,Food Balances (2010-),IND,India,511,Total Population - Both sexes,2501,Population,2021,2021,1000 No,1414203.9,X,Value from external organization,
FBS,Food Balances (2010-),IND,India,511,Total Population - Both sexes,2501,Population,2022,2022,1000 No,1425423.21,X,Value from external organization,
FBS,Food Balances (2010-),IND,India,511,Total Population - Both sexes,2501,Population,2023,2023,1000 No,1438069.6,X,Value from external organization,
FBS,Food Balances (2010-),IND,India,5511,Production,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5611,Import quantity,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5072,Stock Variation,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5911,Export quantity,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5301,Domestic supply quantity,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5521,Feed,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5527,Seed,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5123,Losses,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5131,Processing,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5154,Other uses (non-food),2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5171,Tourist consumption,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5170,Residuals,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,5142,Food,2901,Grand Total,2020,2020,,,,,
FBS,Food Balances (2010-),IND,India,645,Food supply quantity (kg/capita/yr),2901,Grand Total,2020,2020,,,,,
