Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
LC,Land Cover,IND,India,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2020,2020,1000 ha,3904.44,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2021,2021,1000 ha,3910.54,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2022,2022,1000 ha,3921.53,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2023,2023,1000 ha,3943.11,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2020,2020,1000 ha,2238.06,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2021,2021,1000 ha,2351.14,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2022,2022,1000 ha,2566.6,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6970,Artificial surfaces (including urban and associated areas),2020,2020,1000 ha,5991.04,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6970,Artificial surfaces (including urban and associated areas),2021,2021,1000 ha,6822.89,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6970,Artificial surfaces (including urban and associated areas),2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6970,Artificial surfaces (including urban and associated areas),2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6971,Herbaceous crops,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6971,Herbaceous crops,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6971,Herbaceous crops,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6971,Herbaceous crops,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6971,Herbaceous crops,2020,2020,1000 ha,198183.5,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6971,Herbaceous crops,2021,2021,1000 ha,198802.97,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6971,Herbaceous crops,2022,2022,1000 ha,200466.95,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6971,Herbaceous crops,2023,2023,1000 ha,199378.71,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6971,Herbaceous crops,2020,2020,1000 ha,173718.4,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6971,Herbaceous crops,2021,2021,1000 ha,173400.31,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6971,Herbaceous crops,2022,2022,1000 ha,172718.76,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6971,Herbaceous crops,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6971,Herbaceous crops,2020,2020,1000 ha,155204.59,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6971,Herbaceous crops,2021,2021,1000 ha,146148.71,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6971,Herbaceous crops,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6971,Herbaceous crops,2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6972,Woody crops,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6972,Woody crops,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6972,Woody crops,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6972,Woody crops,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6972,Woody crops,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6972,Woody crops,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6972,Woody crops,2022,2022,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6972,Woody crops,2023,2023,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6972,Woody crops,2020,2020,1000 ha,15296.87,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6972,Woody crops,2021,2021,1000 ha,15268.86,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6972,Woody crops,2022,2022,1000 ha,15208.85,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6972,Woody crops,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6972,Woody crops,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5013,Area from WorldCover,6972,Woody crops,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5013,Area from WorldCover,6972,Woody crops,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6972,Woody crops,2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6973,Multiple or layered crops,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6973,Multiple or layered crops,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6973,Multiple or layered crops,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6973,Multiple or layered crops,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6973,Multiple or layered crops,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6973,Multiple or layered crops,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6973,Multiple or layered crops,2022,2022,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6973,Multiple or layered crops,2023,2023,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6973,Multiple or layered crops,2020,2020,,,,
